,Question,Answer
7027,,"Hey, I need your help."
7028,"Wow, it seems serious. What seems to be the problem, Ashley Judd?","Look, I'll get new headshot taken, all right, so I want to get my eyebrows shaped."
7029,"I am sorry, moment to make fun of that, please!","You may be a sissy but I'll still . All right, it hurts so bad, I could only let her do oneeyebrow and now... they don't match!"
7030,It's like a baby caterpillar chasing its mama!,"All right, look, you got to help me out, ok? Look, I have the magic marker, I want you to fill in the skinny one soI don't look stupid for my pictures."
7031,"Ok. First of all, this is green!",What the hell am I supposed to do!
7032,"All right, I will help you out but you have to promise me you will not tell anyone what I am about to tell you.","What, what."
7033,"""Ok, you know how most kids get their allowance from mowing the lawn or taking out the garbage, well I earned mineby plucking the eyebrows of my father and his """"business"""" partners.""",Oh my God!
7034,"Yeah, well, I guess you don't need my help Victor Victoria!","Ok all right, no, no, no, no, I do, I do, I do, I need your help, but Chandler I don't know if I can take anymoreplucking. It hurts so bad!"
7035,And done!,"Oh my God! I didn't feel a thing ! Hey, are you still looking for a job because you can tweeze circles aroundthat sadistic bitch at the saloon."
7036,Thanks. You wanna see what it looks like?,"Yeah, yeah. Hey, they totally match! They look great! They look great! How you doing!"
7037,"Yeah, yeah, I think it looks pretty good. I was a little worried I was uncovering a birthmark right aboutthere, but it turned out to be a little piece of chocolate.",Thank you so much.
7038,No problem.,"Listen that's a pretty girly hour we just spent, we should add some manly make up for it."
7039,Yeah.,Comb my eyelashes.
7040,,Hey!
7041,Hi. Can Emma and I live here for a while?,"Ha, oh, of course."
7042,Thank you.,Your eyebrows look weird.
7043,,"Morning, roomie!"
7044,Hey! You remembered to put clothes on this morning.,Fifth day's a charm.
7045,"Oh, Joey, it's so great to be back here. I gotta tell you, you're making it so easy on me and Emma.","Hey, it's great having you back. You know, stay as long as you want, and when does she stop crying all night?"
7046,"Well, I'll probably be back to pick her up around six, but she's in the bedroom all ready to go. But she did actually fall back to sleep, so...",She's probably exhausted from all that adorable screaming she did last night.
7047,"Bye! Hey, I hope Emma isn't making it too hard on you.","No, hey, it's been great."
7048,Yeah?,"Yeah. And look, I just want you to know that with Rachel staying here and everything, all my feelings from before are totally over, okay? And even if they weren't, when you accidentally walk in on a woman using a breast pump..."
7049,"Yeah, that'll do it.","Wow! So, how are you?"
7050,"I'm, I'm okay.",Really?
7051,"Sure, I mean, do I wish me and Rachel living together would have worked out? Of course. You know, I'm disappointed, but it's not like it's a divorce.","Well, actually it..."
7052,"No, it's not a divorce, it is not a divorce! Anyway, I think Rachel and I need to, you know, get on with our lives, maybe, maybe start seeing other people.","Wow, really?"
7053,"Yeah, sure, why not? In fact, if you know anyone that would be good for me...","Sure, I know lots of girls."
7054,Yeah? Any names come to mind?,"Ooh, names? Opening credits."
7055,Hey.,Hey. I was just gonna get something to eat. You want something?
7056,What you got?,"Okay, let's see, we got strained peas, strained carrots... Ooh! Strained plums. We haven't tried that yet."
7057,"Goodie! Thanks. So, how is it living with Rachel again? I mean, apart from the great food.","I'm fine, I'm fine, it's just, it's just weird what's happening with her and Ross. You know, yesterday he asked me to fix him up with somebody."
7058,"Oh my god, Rachel asked me if I knew anyone for her too.",Why are they doing this?
7059,I don't know. They're so perfect for each other; it's crazy.,"You know what's crazy? These jars. What is it, like two bites in here?"
7060,I just wish they'd realise they should be together.,"I know, I know. And when they moved back in together, I figured y'know, that's where things were headed."
7061,I know. They should be a family. They should get married and have more children.,"Yes, and they should name one of their kids Joey. I may not have kids; someone's gotta carry on the family name."
7062,"You know what? Maybe once they start dating, and they see what's out there, they'll realise how good they are for each other.","Yeah, because it is slim pickings. I had this date last night: Yuck! But we should probably keep it down; she's still in the bedroom."
7063,"So, what are we gonna do? Are we just gonna go ahead and set them up with people?",I know; that just pushes them further and further apart.
7064,"Yeah. Oh, I know what we can do. We could set Ross and Rachel up on horrible dates, so that they'll realise how good they are together.","Ooh, that's a great plan!"
7065,"""Yeah, you know what the best part of it is? I get to do my """"plan-laugh.""""""","Shhh! Not so loud, we don't wanna wake up, uh..."
7066,"Ooh, Joey.",Hey.
7067,Hey. I'm so excited; I just set up Rachel with the worst guy tonight.,All right! Who is he?
7068,"Well, it's this guy I used to massage. And by massage, I mean hold down so he wouldn't turn over and flash me.","Okay, okay. Wait till you hear who I got for Ross."
7069,"Oh, yeah.",She's this really boring woman. She's a teacher!
7070,A teacher?,"Yeah, yeah, she's really into history and foreign movies... And oh, oh, she loves puzzles. Huh? Come on, who loves puzzles?"
7071,"Well, Ross does. What... You're - you're ruining the plan! Joey, you've - you've fixed him up with his perfect woman!","Oh my god, you're right!"
7072,Yeah.,She even reads for pleasure!
7073,How do you even know a woman like that?,What? I'm not allowed to know smart women?
7074,Joey.,I met her at the library. I went in to pee.
7075,So now what do we do?,"Well, okay, I'll - I'll just call her and tell her the date's cancelled, and find him somebody else."
7076,"What if we don't find him somebody else? We'll just tell her the date's off, but we don't tell Ross, and he goes to the restaurant and gets stood up!",Ooh...I hear that's bad.
7077,"Ooh, so this is great! Rachel's gonna have a terrible date, Ross gets stood up, and then they'll realise how good they have it together.","Ah, yes, The Plan!"
7078,"It's not Santa's plan. No, it's...","Yeah, you know, it's not that fun."
7079,"Well, our plan is working. Rachel is having a miserable time, and Ross is just stood up somewhere at a restaurant all alone.","Oh, great, pretty soon they'll be back together."
7080,"Okay, I'll try.",Hello?
7081,Hello?,Emma? Hey! Hi!
7082,Emma? Hey! Hi!,"How are ya? How are ya? Where are your babysitters, huh? Why's the bedroom door closed?"
7083,"How are ya? How are ya? Where are your babysitters, huh? Why's the bedroom door closed?","You can't have S-E-X, when you're taking care of the B-A-B-I-E!"
7084,Why the hell did you take her?,Because you two were having sex!
7085,"No, we weren't!",Don't you lie to me! I could tell by Chandler's hair. You are so lazy. Can't you get on top for once?
7086,"All right, all right, we were. We were trying to make a baby. Monica's ovulating.",Hey! It is unacceptable that you two would have sex with Emma in the next room. I'm gonna have to tell Rachel about this.
7087,"No, please don't. Please, Joey. She will kill us!","Hey, I gotta! Unless..."
7088,Unless what?,Unless you name your firstborn child Joey.
7089,What? Why?,"Hey, I may never have kids, and somebody's gotta carry on my family name."
7090,Your family name is Tribbiani.,You almost had me.
7091,"Now, wait a minute. So, they're gonna name their first child Joey?",Uh-huh.
7092,How - how do I get them to name the next one after me?,"It's easy, you just walk in on them having sex."
7093,"Wait a minute; you don't think it was intentional? I mean, that's just stupid.","We're geniuses! Yeah, look at them, look at them, they're really bonding."
7094,"Oh, they see us! Oh, they, they look mad. Oh, they figured it out. They're coming this way. Run!",Where?
7095,,Can you believe they're still not here?
7096,"I know. A double blind date, and we both get stood up. What are the chances?","I know, I'm so bummed. Can we have our free crab cakes now?"
7097,What?,We've been stood up. And we want our free crab cakes.
7098,"Guys, guys, I've got great news! Guess what.","Uh, ah, Monica's pregnant?!"
7099,"Actually, it pays nothing. It's an internship.","Oh, that's cool. We have interns at 'Days Of Our Lives'."
7100,,Hey!
7101,Hey!,Where's Chandler? I wanna wish him good luck on his first day. ... and I smelled bacon.
7102,He just left.,Who did?
7103,Joey! You never gonna believe it: she called.,She did?
7104,You got it!,I did?
7105,What is she talking about?,"I don't know, but it sounds great."
7106,Your agent called. You got that audition.,With Lennart Haze?
7107,Yes.,"Oh my god, that is great! That is *** for a play on broadway... and in a real theatre, not that little one underneath the dally like last time."
7108,Is it a good play?,"Well, it must be, because I read and I didn't understand a singe word."
7109,"Yeah, and Lennart Haze is starring in it.","Yeah, yeah, and directing."
7110,"No, but... I saw the previews. They played it right before Jackass.",Ah!
7111,Ah!,"Yeah, he's done some amazing works."
7112,"Oh, yeah. Oh, I loved him in those cell phone commercials.",I know. When the monkey hits him in the face with that giant rubber phone.
7113,Hey! Maybe the monkey will be at the audition!,Don't make me more nervous than I already am!
7114,"This is Joey Tribbiani. Joey, these are the producers and, as you probably already know, this is Lennart Haze.",It is so amazing to meet you. I'm such a big fan of your work.
7115,"Well, I've... I've been blessed with a... a lot of great roles.","""Tell me about it! """"Unlimited nights and weekends!"""""""
7116,"You making fun of me? Because I am not a sell-out. I didn't do that for the money, I believe in those phones. I almost lost a cousin because of bad wireless service.","No, I-I-I wasn't making fun of you, honestly, I-I think you were great in those commercials."
7117,Really?,Yeah.
7118,"Well, I do bring a certain credibility to the role.",Are you kiddin'? When they shoot you out of that cannon.
7119,"""Peeeeeooooooooch """"Hang up that phone!"""" One take!""",Wow!
7120,"So, shall we read?","Oh, yah, sure."
7121,"""""""What the hell are you still doing here""""?""","""Err, """"I think you know""""."""
7122,"""""""Bastard""""!""","""""""I am what you made me. You know what? I could go right now."""""""
7123,"""""""Go, go!""""""","""""""I can't. Oh, I want to, long pause, but I can't."""""""
7124,"""I'm sorry, sorry. You're not supposed to say """"long pause""""""","Oh, oh, I thought that was your character's name, you know, I thought you were like an Indian or something, you know with a..."
7125,"No. Thank you so much for coming in. We appreciate it, thank you.","""Ah, y-y-you're sure you don't want me to do it again? I could do it with an accent, you know, Southern """"I could go right now, maaan!"""""""
7126,"Hey! I-I-I don't care if he's hot, you know. If you want to sleep with him, do it on your own time. This is a play. No, listen: if you insist on this, I will call my agent so fast on a cell phone that has a connection that is so clear he's gonna think I'm next door.","Ah, hi, ah. Thank you so much for whispering for my benefit, but, ah, look, if you just tell me what I did wrong, I'd just love to work on it and come back and try it again for you. And, and also: 'How you doing?' You should, please, just gimme another chance. I really wanna get better, please."
7127,"Well, if you wanna come back at the end of the day today, here are my notes. Ready?",Yeah.
7128,"Uhm, you're in your head. You-you're thinking way too much.",I really doubt that.
7129,"No, no, no. It's that you're not connected with anything in your body. There's no urgency. The scene is a struggle, uhm, it's a race. Also, what you did was horizontal. Don't be afraid to explore the vertical. And don't learn the words. Let the words learn you.",Couldn't I just sleep with the producer?
7130,"Hey, how did the audition go?","Well, they wanna see me again this afternoon, but, err, well, Lennart Haze did not like me."
7131,What happened?,"Well, he said I wasn't urgent enough, you know, and that everything I did was horizontal and I should be more vertical. Oh, and he said that I should think less."
7132,"Yes, but I don't think life experience with these.",Wooooooooow It's like they're on fire!
7133,They're these prototype sneakers and come up with ideas on how to sell them which I can't do because no self-respecting adult would ever where these.,I give you $ 500 for them!
7134,"No, I don't think that's the kinda thing they're looking for.","Hey, that'd work on me! Why did I get to buy Mrs. Butterwords?"
7135,You're late!,"I know, I'm sorry, but can I just have a quick second to run to the bathroom?"
7136,"No, Lennart doesn't wait!",But I'm bursting with u-hu!
7137,Joey! Here we go. Let's go very quickly!,"Actually, I really need."
7138,"We must go now, quickly, please.",Yes... ahahaaa.
7139,"""Ready? """"What the hell are you still doing here?""""""","""""""I think you know!"""""""
7140,"""""""Oh, you sick bastard!""""""","""""""I am what you made me! You know what?"""""""
7141,"""""""What?""""""","""""""I could go right now."""""""
7142,"""""""Then go, go!""""""","""""""I, oh, I can't. I want to, but I can't!"""""""
7143,Cut! That was good. That was very good. You did everything I asked for.,I did?
7144,"Yes. Plus... what you've got that... I don't know what you've got going... this squirmy quality that you bring into the character that I couldn't've even imagined. Wow, hey, here's what we gonna do: come back tomorrow for the final callbacks with the ***, do all of this what you've got going now, but you know what? more, more. Can you do that?","Sure, yeah. I don't have time to say thank you because I really gotta go."
7145,"Yes, how's this: They're so uncomfortable it's like getting kicked in the nuts for your feet!",Hey!
7146,Hey!,Probably wanna know what I'm doing...?
7147,"No, that seems about right.","Yesterday at my audition, I really had to pee, and apparently, having to pee makes me a really good actor. I got a call-back, so I'm drinking everything. Oh, by the way, that egg nog in our fridge was great!"
7148,"Joey, that was formula.",We gotta get more of that.
7149,,"""""""I need an answer!"""""""
7150,"""""""I-I-I can't tell you somethin' I don't know.""""""","""""""You know!"""""""
7151,"""""""I don't know!""""""","""""""I need an answer now!"""""""
7152,"""""""Alright, here, you want an answer... the answer... is...""""""",Oh!
7153,"""""""She never loved me, she only loved you.""""""","""""""You knew this all along and you never told me? You never told me? I can never forgive you, I can never forgive myself, I have nothing to live for Bang End Scene!"""""""
7154,Absolutely amazing! The part is yours.,"Oh thanks, thanks! Now, I really have to get."
7155,Hey Joey!,Hey!
7156,"Listen...I need to know that what I'm about to ask you, will never get back to Chandler.","I'd be lying if I said I haven't thought about it myself. Chandler is my best friend, it would be wrong. Good......But wrong."
7157,Ok first of all...It would be great. But that's not what I'm here to talk to you about. I need to borrow some money.,"Aww, I don't know Monica y'know... erm... lending friends money is always a mistake."
7158,But Chandler lent you money!,And I think he would tell you it was a mistake.
7159,Come on...I just need it for some rent and..and some other bills.,Oh...how much?
7160,Two thousand dollars?,Two thousand dollars!? What do you think I am? I soap opera star!?
7161,Yeah...,That's right I am!
7162,Hi you guys!,Hey!
7163,Hey!,Oo...what's in the bag?
7164,"Oh er... well you know Emma started crawling? I realised that this place, is very unsafe for a baby. So I went to the store and got some stuff to baby-proof the apartment.","""Oh...baby-proofing... Why is this such a big deal now? Y'know, when I was a kid it was like.. """"Whoops! Joey fell down the stairs!"""" or er.. """"Whoops! Joey electrocuted himself again!"""" Huh!"""
7165,No. I was just going to do this myself.,You're gonna do it?
7166,"Yeah, Why? You don't think a woman can do this?","Oh, women can. You can't."
7167,Wha!? What!? Come on! I found the hardware store all by myself!,The hardware store is right down the street.
7168,Hey Joe!,Hey!
7169,Listen er..I need to ask you a favor but you can't tell Monica anything about it.,I thought you didn't have secrets from Monica.
7170,And that would have made the official party line. Monica and I are having a little financial trouble.,"Yeah, I know."
7171,What? What do you mean you know?,"Err... I just figured it out! You know, I mean you're not working and the economy is bad."
7172,Oh! Right.,That's the fastest I have ever thought!
7173,"Anyway, err... I need to borrow some money.",Oh! Sure! How much? Two thousand dollars?
7174,Yes! Two thousand dollars exactly! How do you know that!,Err...Well I...Know how much you used to make and I know how much your rent is.
7175,Oh ok.,I am on fire! Chandler : Listen...this is really nice. Do you... Did you write a cheque to Monica for two thousand dollars? Did Monica borrow money from you?
7176,I am on fire! Chandler : Listen...this is really nice. Do you... Did you write a cheque to Monica for two thousand dollars? Did Monica borrow money from you?,Err... Kind of.
7177,I can't believe her! Did she tell you we were having money problems?,"Oh no no no no no... It wasn't... It wasn't because of your money problems, it was for something for her."
7178,What?,Something personal.
7179,Excuse me.,Boob job.
7180,I don't want her to get a boob job! That's crazy!,"Well it's...It's not that crazy okay? Making them smaller, that would be crazy."
7181,,Rach?! Rachel!!!!? So I can't do anything I like????
7182,Joey! Why did you tell Chandler that Monica was getting a boob job?,Because she is!
7183,"Joey, Chandler knows I borrowed the money.",Mmmm hmm! For your boob job!
7184,It's over/Joe!,OK so I'm out four thousand dollars and nobody's boobs are getting any bigger?
7185,You know sometimes your words... they hurt.,"Hey uh, where do you guys want this?"
7186,Right. Except that I do want to get married.,Couldn't have this conversation down at the truck huh?
7187,,AH HAH! I DID IT! HA HA! Alright... Better take all I can carry. Who knows when i'll be able to get in here again!
7188,"Oh yeah, let me just finish this.","Hey Ross, check this out! yeah, I can't do that!"
7189,"You know what? I'm gonna finish this later, ok? Let me just grab my coat.",Hey!
7190,"""Maybe we finish this for him! """"Also I cloned a dinosaur in my lab. She's now my girlfriend. I don't care what society says. It's the best sex I've ever had""""... aaand SEND!""","No, no, no... what do... you can't do that to him!"
7191,"Alright, let's go!",Dude!
7192,I think you made it clear you cannot be trusted with the ball inside the house!,aaand SEND! Opening credits.
7193,Hey! How was basketball?,"Oh, it was a lot of fun right up until Chandler got a finger in the eye!"
7194,"Oh, no! Who did that?",Chandler... hey... Rach... what's Hugsy doin' in the crib with Emma?
7195,"She was just crawling around and she found him, so I just let her sleep with him. That's all right? Isn't it?","Oh, yeah... of course... yeah... it's a stuffed animal... you know... it's for kids... not for adults... I know that!"
7196,"Joey... are you sure? I mean, I know how much you love him!","Rachel... let's be clear on this, ok? I do not love Hugsy. I like him a normal amount..."
7197,"All right... Oh, Emma loves him!",Why wouldn't she? He's a wonderful person!
7198,,"Look at you, all sweet and innocent, sleeping like an angel... with Emma's chubby little hands wrapped around ya. It's okay, Emma, you stay asleep."
7199,": Step away from the crib, I have a weapon!","It's okay, it's okay Rach, it's me. Put down the scrunchy."
7200,What are you doing?,"Well, I heard Emma stirring, so I came to make sure she could reach Hugsy."
7201,"Oh, oh thanks. Alright well, now that I'm up I'm going to go to the bathroom.",There you go sweetie... This isn't over.
7202,,"Hey, look who's here! It's Joey, and he brought home a friend."
7203,"Joey, Emma's right here! You promised not to bring girls home in the middle of the day anymore.","No, no, it's not a girl, it's... a brand new Hugsy!"
7204,"Oh that's so great, now Emma has two Hugsy's.","No, no, Emma has one Hugsy, the new Hugsy, huh? The other Hugsy, I don't know, I guess I'll just take it back."
7205,"Oh you know what? When I was a little girl I had a little pink pony named Cotton. Oh I loved her so much, I took her everywhere, I would braid her tail...",Make the transfer!
7206,Should I be concerned that a button fell off the old Hugsy and I can't find it?,"Oh, no don't worry about that, I swallowed that years ago."
7207,"Oh, I don't think she likes the new Hugsy.",But he's the same.
7208,"Yeah, I think she wants the old one back.",But he's the same.
7209,"Joey, come on!",He's the same! .
7210,He's the same! .,You're not the same!
7211,"I'm trying to put Emma down for a nap, have you seen Hugsy?",Original or crappy?
7212,Original.,"No, sorry haven't seen him."
7213,Then what's that big lump under your covers?,"It's Monica, ok?"
7214,That's not Monica!,"Alright!! Fine! It's original Hugsy! No, now I know that Emma wants him but he's mine and I need him.."
7215,Oh God.,... she's being unreasonable!
7216,"Joey, there is a reason that Emma loves that stupid penguin so much Oh don't cover its ears! It's because it reminds her of her uncle Joey!",It does?
7217,Yeah! And she's comforted by him because she loves her uncle Joey so much.,Really? She... she loves me?
7218,"Oh yeah! But you know what? If you need Hugsy, don't worry. Emma will totally understand. I won't... but whatever .","Ok, wait wait wait wait a minute wait a minute, I mean Rach, I mean if if... . If Hugsy means that much to Emma then... well she can have him."
7219,"Oooh... you're sweet, I knew uncle Joey would step up. Look Emma, look who's baaack!",Look forget it forget it... I can't do it.
7220,Are you gonna... you're going to take Hugsy away from a little child?,How do you think I got him in the first place?
7221,,"Monica, hey, can I borrow the Porsche?"
7222,Ok.,Alright!
7223,But ehm...what is it not?,A place to entertain my lady friends.
7224,And what else is it not?,A place to eat spaghetti.
7225,Very good! What do you need it for anyway?,"Oh well, the powerball lottery is upto 300 million and they don't sell tickets here in New York, so..."
7226,Oh! So you're driving up to Connecticut?,Yeah Connecticut...Not West Virginia.
7227,"Hey, maybe I'll drive you up there! I'd like to buy some tickets myself!",Uh!
7228,The woman just vanished!,"Seriously, Ross, you don't want in on this?"
7229,Yes but there's six of us so we'd only have to get struck by lightning 7 times.,I like those odds!
7230,Kinda like Joey.,What's that now? Opening credits.
7231,They're towing a car. And I am seeing...spots.,Oh my god Ross! You don't have Emma! And Rachel you don't have Emma! Where's Emma? Who has Emma!?
7232,Joey relax! My mother picked her up two hours ago. You were there!,I was?
7233,Yes and you talked to her...,I did?
7234,She dropped off a casserole?,Oh yeah! The casserole lady.
7235,"Chandler is supposed to find out if he's getting an assistent job at his ad agency. But out of the 15 interns, they are only hiring three.",Ooh! Tough odds!
7236,Yeah if only it were a sure thing like your 24 state lottery!,Look who's coming around!
7237,Damnit. Alright call me when you know more.,Did you get it?
7238,One of the slots got filled.,By you!?
7239,"Oh no, I'm good, I don't wanna get that turkey smell all over my hands.",I'll do it!! It'll get the casserole stink off of mine.
7240,"Well, it doesn't really matter ... you're both wishing for the same thing, right?",I can't tell you what I'm wishing for! Else...you know...won't come true!
7241,"""Right! .. but we """"know"""" what you're wishing for!""",Can't really say!
7242,"I understand, but you're wishing for what we think you're wishing for, aren't you?",I'm not really comfortable with these questions!
7243,"One, two, three!","I won, hey!"
7244,Ooh! Calm down ...,"Seriously, that's your fantasy? To invest it?"
7245,"""Oh, I'm sorry, did I say """"invest it""""? I meant """"be cool and piss it all away""""""","Ooh, ooh, I know! We should pool all own money and buy the Knicks!"
7246,I don't really care about the Knicks.,"Oh, you will when I pick you as starting forward."
7247,"You know, I'm not sure a sports team is the way to go.",You're not gonna let me buy the Knicks?? I can't believe you're taking this away from me!
7248,"Hello? Hello? Oh, hey Charlie. Did anybody else hear? ... What? Susan got it?? How? Oh man, I would have slept with him!! .. Alright, bye.","Dude, I'm sorry. But hey, there's one spot left, right?"
7249,3 minutes ago!!! I don't know why that's important ...,"I was with you the whole time we were in Connecticut, when did you even get those?"
7250,When you were reading the dirty magazines without taking off the plastic!,I'll show you how.
7251,"OH! Alright, you know what? That's it! I want my share of the tickets !","Yeah, I want my tickets too ! And I'm buying the Knicks! And Steffi Graff, ah ah!"
7252,"No, no! We should divide them up and I should get extra because we used my card to buy them!","Hey, if anybody gets extra tickets, it should be me! This all thing was my idea!"
7253,"Ok, that's it! Just give'em to me! I'll split them up!",Oh!
7254,"Oh, if she jumps, I get her tickets.","No, no!"
7255,"Hi mum, put her back on!","""Rach, come on! They are announcing the numbers! My God, I can already feel myself changing. TV: """"Here we are, the official Powerball numbers! We have 53"""""""
7256,Wow!,And what did she say?
7257,She's gonna be a scientist!,Damnit! anybody got anything?
7258,You bet! No TV or anything!,"Hey, that is so great about the job."
7259,"Thanks, man.",And I like to think I had a little something to do with it.
7260,Really? What?,"Well, before, with the wishbone... I didn't wish we would win the lottery, I wished you'd get the job."
7261,"Oh yeah? Listen, don't tell Monica, she'll rip your heart right out.",Oh yeah.
7262,Me too.,Me too.
7263,,"Hey guys, so I just called the Powerball hotline, can you believe it? Nobody won."
7264,,"God, you're beautiful...why are we fighting this?You know you want it to happen as much as I do. Joey: I want you.I need you.Let me make love to you."
7265,"I don't wanna stand in the way of true love or anything, but I think a cantaloupe might hurt less.","Oh, ehm...I'm...I'm rehearsing my lines.They gave me a big romantic story on Days Of Our Lives. It's the first time my character's got one. I'm so nervous, you know, I really want it to be good!"
7266,Woow!I haven't seen you this worked up since you did that dog food commercial and you thought you were gonna be with a real talking dog!,"Yeah, that was a disappointment... Oh, hey!D'you want to come down to the set and tell me if I'm doing ok?"
7267,Are you serious?,"Yeah!Hey, you just have to promise not to get yourself thrown out again."
7268,"Hey, that was an honest mistake!","""Right!""""Oh my God, is this the men's room? Oh, I feel so foolish, have you always known you wanted to be an actor?"""""""
7269,"Hey Joey, is this the bed where Olivia lost her virginity?","I don't know, but one of the extras sure did! Hey, listen Rach. Thanks again for coming down to watch my scenes!"
7270,"Oh, please!Honey, just the fact that you want me here to support you, I'm...OH MY GOD!Is that Christian Sanders?He's so gorgeous!",Also so gay!
7271,"""Oh, in my head he's done some pretty """"not-gay-stuff""""!""","Well, at the Christmas party him and Santa did some definitely gay stuff!"
7272,"Joey, Joey! We're ready for you!","Oh, wish me luck!"
7273,"Ok, not that you need it but good...GOD!Is that Chase Lassiter?He's straight, right?","Rach, I gotta say...if you weren't here wondering if these guys were gay I don't know if I could do this!"
7274,Hi!,Hey!
7275,"Joey, I gotta tell ya, I've been thinking all day about that scene you did, I mean, you were amazing!","Oh, you know, the writing was good, and the director is good, and... and my co-star's good but they're not as good as me!"
7276,"God, you have to tell me what happens tomorrow!","Ow, I'm just going over the script now! You wanna read lines with me?"
7277,"Me? Oh, no, I am not an actress.","Oh, all right, I can ask Monica."
7278,"Oh screw her, that part is mine!","Right... ok, so just from the top of the page, right here."
7279,Kiss me.,What?
7280,Kiss me.,"Ah, Rach, it doesn't say that!"
7281,"No, I'm saying...","but, but.."
7282,Hey!,Hey!
7283,"Joey, do you have peanut butter on the back of your head?",Oh man! I thought I got it all!
7284,How...how...?,"I was making a peanut butter smoothy, right?"
7285,uh-huh.,"And I couldn't find this little plastic thing that goes on top of the blender...and I thought...well... how important can that be, right...? Turns out very!"
7286,Wow...definitely just Drake...,What?
7287,What...how is it going with Drake?,Oh...I don't think it's going very well...
7288,What...that scene I saw was so good!,"Well, I'm feeling really insecure about the one we are shooting tomorrow..."
7289,"Joey, is this that thing that you do when you say you're bad so I'll give you a compliment?","A little. Yeah no, I really am worried, you know, I mean I have to make it convincing that I'm in love with Olivia."
7290,So?,So...I've never played that!
7291,"Ooh! Honey, it can't be that hard, I mean, you've been in love before?",Uh...well...just once...with you...
7292,Ok...this could be a little awkward...I'm just going to blow past it... well can't you just use that method actor thing where you use your real life memories to help you in your performance?,What the hell are you talking about??
7293,"Alright, alright look, just uh... just try to remember how you felt when you were in love, and think about that when you're playing the scene.","Oh! ok, yeah, I think I can do that. Yeah ok, there's this party scene coming up.. and Olivia and her husband are there and all Drake wants to do is grab her and kiss her, but he can't... And that makes me think about all those times when I wanted to grab you and kiss you, but you didn't know so I would just pretend everything was cool, but really, it was killing me."
7294,"Joey, you never..you never talked about that before...","Well.. hey, you know what else I could use? There's a scene where Drake sneaks into Olivia's bedroom, and she doesn't know he's there - which never happened with us! And he knows he shouldn't be there, but he just wants to look at her... you know? And I remember all those mornings before you even put on your make-up, when I would think to myself, my God, she...is... beautiful... and it hurts so much, cuz I knew I could never tell you but it was worth it just to be there looking at you. Joey: Thanks dude!!!This is GREAT!! Closing credits."
7295,,"Hey, you guys, what are you doing tomorrow night?"
7296,"Well, let me see... I-I believe I'm... yes, falling asleep in front of the TV.","Look, my agent hooked me up with six tickets to a great play."
7297,What is it?,"""It's a one-woman play called """"Why don't you like me: a bitter woman's journey through life""""."""
7298,"I know, I know, we can drive, we can vote, we can work, what more do these broads want?","You guys are gonna have a great time, I promise!"
7299,What? How come that you don't have to go!,"I wish I could but I just found out that I have to be at work really early the next day, so I can't go, but, you know, take the extra ticket and invite whoever you want."
7300,"Oh, sorry... Oops, sorry.","Hey, here you go."
7301,"Hi Joey it's Jane Rogers, can't wait for your party tonight. Listen, I forgot your address, can you give me a call? Thanks, bye.",Hey!
7302,Hey!,What's happenin'?
7303,"Yeah, it's a real shame you can't make it to that one-woman show tonight.","Oh, I'd love to, but I gotta get up so early the next day and so, you know me, work comes first."
7304,"""""""Hi Joey, it's Jane Rogers can't wait for your party tonight""""""",Stupid Jane Rogers!!
7305,You are having a party tonight??,Kinda have a... a thing for the Days Of Our Life's people.
7306,And you weren't going to tell us? How did you think you were gonna get away with that?,I do it every year.
7307,You do that every year??,I didn't have to tell you that!! I'm stupider than Jane Rogers!!
7308,"Oh, that's why you got these tickets to that play, to get rid of us??",Yeah...
7309,And last year is that why you sent us to that medieval times restaurant?,Yeah...
7310,"OH! And the year before that, when you set up that nighttime tour of that button factory?",I can't believe you guys went for that one!
7311,"Joey, why wouldn't you invite us to your parties?","You're fine, ok? But everyone else acts like an idiot around famous people!"
7312,"Well, then so you just invite me...!","Please, I was trying to be nice, you're the worst one!"
7313,"Oh, Joey, come on! Please, please! Let me come, I will behave, I promise! I will behave! Please, please, please...","Ok, ok! Fine! You can come, but don't tell anybody else. It's up on the roof at 8."
7314,We know about your party Joey.,What party?
7315,The game's over! Take off your robe!,Ok... I mean...
7316,No!! Cover it up!!,Nice to meet ya!
7317,,"Hey! Hey alright! Hey, glad you could make it Thanks for coming."
7318,I love you!,"Hey, that's why I didn't invite you. you have to calm down, alright... go, go get yourself a drink or something..."
7319,,"Hey Ross, this is one of my co-stars, Dirk. Dirk, this is my good friend Ross."
7320,"I'd lead with that. Monica: That's it, just sign right on the bra .",Monica!
7321,Just some boys gave me their phone numbers.,"Ah, let me see! Damn, that's a lot of guys! Are you a little slutty?"
7322,I think I am.,"Let me see if I approve any of these clowns. This guy wears a rug . This guy's Canadian . And this guy is in a cult, ok, and it costs you 5,000$ to get to level three and I don't feel any different. Joey: Pass, pass, oh, pass, double-pass, pass..."
7323,"Why, why, what's wrong with these guys?","Nothing major, it's just that, you know, they're not really good enough for you, and you deserve the best."
7324,"Joey, you're so sweet.","That's true. But you know what, it doesn't matter because I already know who you're gonna go home with tonight."
7325,What? Really?,"Yes, 'cause we live together, that's a joke!"
7326,"Oh! Screw it, I didn't get it!",Gotcha.
7327,"Oh, God. I forgot how hot she was!",Hey!
